Firm,Data point,Value on Prop Firm Match,Value on official site,Match? (Yes/No/Unclear),Notes,Official source URL,Date checked
Apex Trader Funding,Evaluation price ($50K EOD No Activation),$109.00 (list $1090; 90% MATCH code),One-time fee; promo pricing varies (~$45-$109 with codes),Unclear,PFM shows discounted checkout price only; official base varies by promo cycle,https://apextraderfunding.com/,7/8/2026
Apex Trader Funding,Profit target ($50K),$3000 (implied on challenge pages),"$3,000 ",Yes,Matches Apex 4.0 EOD help center table,https://apextraderfunding.com/help-center/eod-trailing-drawdown-accounts/eod-evaluations/,7/8/2026
Apex Trader Funding,Drawdown amount and type,$625-$1500 in AI summary (firm page),$2000 EOD trailing (50K),No,PFM AI summary understates max drawdown; 50K EOD is $2000 per official help,https://apextraderfunding.com/help-center/eod-trailing-drawdown-accounts/eod-evaluations/,7/8/2026
Apex Trader Funding,Daily loss limit,$1000 on EOD (rules section),$1000 on EOD eval,Yes,Matches official EOD eval parameters,https://apextraderfunding.com/help-center/eod-trailing-drawdown-accounts/eod-evaluations/,7/8/2026
Apex Trader Funding,Profit split,100% (sim funded PA),100% on requested payouts (EOD PA),Yes,Matches official EOD payout help,https://apextraderfunding.com/help-center/payouts/eod-payouts/,7/8/2026
Apex Trader Funding,Minimum payout,$500 ,$500 ,Yes,Matches official EOD payout help,https://apextraderfunding.com/help-center/payouts/eod-payouts/,7/8/2026
Apex Trader Funding,Activation / reset fee,No Activation challenge path listed,No monthly reset on 4.0; PA activation on Standard path ($99 EOD cited),Unclear,PFM lists No Activation SKUs but firm page FAQ still references legacy rules,https://apextraderfunding.com/,7/8/2026
Apex Trader Funding,Current promo/discount,90% off code MATCH,Active promos common (80-90% off),Yes,Promo exists on both,https://propfirmmatch.com/futures/prop-firms/apex-trader-funding,7/8/2026
Apex Trader Funding,LEGACY FAQ: 5:1 risk-reward rule,Listed in FAQ as active rule,Removed in Apex 4.0 (March 1 2026),No,OUTDATED: FAQ still describes removed legacy rule on main firm page,https://propfirmmatch.com/futures/prop-firms/apex-trader-funding,7/8/2026
Apex Trader Funding,LEGACY FAQ: 30% consistency,Listed in FAQ as active rule,50% consistency on funded PA under 4.0,No,OUTDATED: FAQ cites 30% legacy rule; official 4.0 uses 50% on PA,https://apextraderfunding.com/help-center/payouts/eod-payouts/,7/8/2026
Apex Trader Funding,Account sizes listed,Up to $300000 (AI summary),New 4.0 purchases max $150K ($250K+ legacy only),No,OUTDATED: AI summary includes legacy sizes as if purchasable,https://apextraderfunding.com/,7/8/2026
Apex Trader Funding,Expert Advisors / bots,Strictly prohibited (firm rules text),API automation allowed via ProjectX with isAutomated flag; VPS prohibited,No,CONFLICT: PFM rules say manual only; Apex markets API automation add-on,https://apextraderfunding.com/,7/8/2026
Topstep,Evaluation price ($50K No Activation),$95.00/month,$95-$109/month (varies by source/promo),Yes,PFM $95 matches current No Activation 50K listing,https://propfirmmatch.com/futures/prop-firm-challenges/topstep-no-activation-fee-1-step-50k,7/8/2026
Topstep,Profit target ($50K),$3000 (AI summary),"$3,000 ",Yes,Matches,https://propfirmmatch.com/futures/prop-firms/topstep,7/8/2026
Topstep,Drawdown amount and type,$2000 max (50K tier),$2000 EOD trailing MLL (50K),Yes,Matches,https://propfirmmatch.com/futures/prop-firms/topstep,7/8/2026
Topstep,Daily loss limit,$2000 listed under Live tier text,$1000 DLL on 50K Combine (objective),Unclear,PFM page mixes Live DLL ($2000) with Combine rules; official Combine DLL is $1000,https://propfirmmatch.com/futures/prop-firms/topstep,7/8/2026
Topstep,Profit split,90%,90% Express Funded,Yes,Matches,https://propfirmmatch.com/futures/prop-firms/topstep,7/8/2026
Topstep,Minimum payout,$125 ,$125 ,Yes,Matches payout policy section,https://propfirmmatch.com/futures/prop-firms/topstep,7/8/2026
Topstep,Activation / reset fee,$0 on No Activation path,$0 activation on No Activation path,Yes,Matches,https://propfirmmatch.com/futures/prop-firms/topstep,7/8/2026
Topstep,Current promo/discount,None listed; Jun 2026 announcement on DLL payout caps,Responsible Trading Advantage doubles payout caps with DLL,Yes,Announcement present on PFM,https://propfirmmatch.com/futures/prop-firms/topstep,7/8/2026
My Funded Futures,Evaluation price ($50K Core),NOT LISTED on PFM,$77/month (Core plan),No,MISSING PRODUCT: PFM lists Builder/Rapid/Flex/Pro but not flagship Core $77 plan,https://myfundedfutures.com/blog/myfundedfutures-mffu-core-plan,7/8/2026
My Funded Futures,Profit target ($50K Core),N/A - plan not listed,"$3,000 ",No,Cannot compare; Core absent from PFM challenge catalog,https://myfundedfutures.com/blog/myfundedfutures-mffu-core-plan,7/8/2026
My Funded Futures,Drawdown ($50K Core),N/A,$2000 EOD drawdown (official Core blog table),No,Core not listed; official blog states $2000 EOD,https://myfundedfutures.com/blog/myfundedfutures-mffu-core-plan,7/8/2026
My Funded Futures,Daily loss limit (Core),N/A,None on Core,No,Core plan missing from PFM,https://myfundedfutures.com/blog/myfundedfutures-mffu-core-plan,7/8/2026
My Funded Futures,Profit split (Core),N/A,80/20,No,Core missing from PFM,https://myfundedfutures.com/blog/myfundedfutures-mffu-core-plan,7/8/2026
My Funded Futures,Minimum payout (Core),N/A,$250 (Core); $500 first on Builder,No,Core missing; Builder listed at $500 min on PFM,https://propfirmmatch.com/futures/prop-firms/my-funded-futures,7/8/2026
My Funded Futures,Activation fee,$0 (stated across plans),$0 ,Yes,Matches official Builder help center,https://help.myfundedfutures.com/en/articles/14290805-builder-plan-a-comprehensive-guide,7/8/2026
My Funded Futures,Current promo/discount,50% off Pro (MATCH); Builder $76.50/$153,40% PROPSCOPE on Core; 50% BUILDER promos on site,Unclear,PFM promos align on Builder; Core entry deal not represented,https://propfirmmatch.com/futures/prop-firms/my-funded-futures,7/8/2026
My Funded Futures,Builder 50K price (proxy),$76.50 / $153,$153 list; $92 at 40% off,Yes,Listed Builder pricing matches official structure,https://propfirmmatch.com/futures/prop-firms/my-funded-futures,7/8/2026
Take Profit Trader,Evaluation price ($50K),$102.00 / $170.00 (40% MATCH),$170/month list,Yes,Discount math matches 40% off $170,https://propfirmmatch.com/futures/prop-firms/take-profit-trader,7/8/2026
Take Profit Trader,Profit target ($50K),$3000 (standard program),"$3,000 ",Yes,Matches,https://takeprofittraderhelp.zendesk.com/hc/en-us/articles/15171769361053-PRO-Account-Rules,7/8/2026
Take Profit Trader,Drawdown ($50K),EOD on Test; intraday on PRO,EOD trailing on Test; intraday on PRO,Yes,Matches official tier structure,https://propfirmmatch.com/futures/prop-firms/take-profit-trader,7/8/2026
Take Profit Trader,Daily loss limit,Removed / not listed,$0 daily loss limit (removed Jan 2025),Yes,Matches,https://propfirmmatch.com/futures/prop-firms/take-profit-trader,7/8/2026
Take Profit Trader,Profit split,80% PRO / 90% PRO+,80% PRO; 90% PRO+,Yes,Matches,https://takeprofittrader.com/,7/8/2026
Take Profit Trader,Minimum payout,None (but $50 fee at $250),$250 min; $50 fee if exactly $250,Yes,Matches,https://propfirmmatch.com/futures/prop-firms/take-profit-trader,7/8/2026
Take Profit Trader,Activation fee,Promo: no activation fee on evals,$130 PRO activation (waived via promo credit),No,MISLEADING: Offer implies no activation fee; official $130 unless promo credit applied manually,https://takeprofittraderhelp.zendesk.com/hc/en-us/articles/28923632631581-How-to-Activate-a-PRO-Account-Using-Credit,7/8/2026
Take Profit Trader,Current promo/discount,40% off + no activation fee (MATCH),Promo codes waive via $130 credit after pass,Unclear,Requires post-pass credit step not stated in offer headline,https://propfirmmatch.com/futures/prop-firms/take-profit-trader,7/8/2026
Tradeify,Evaluation price (Select Flex 50K),$99.00 / $165.00 (40% MATCH),~$165 list; promos common,Yes,Discount pricing consistent,https://propfirmmatch.com/futures/prop-firms/tradeify,7/8/2026
Tradeify,Profit target (Select 50K),Listed on challenge detail pages,~$3000 (6%) on Growth/Select evals,Yes,Generally aligned,https://propfirmmatch.com/futures/prop-firms/tradeify,7/8/2026
Tradeify,Drawdown type,EOD trailing (rules),EOD trailing; locks +$100 above floor,Yes,Matches Tradeify agreement/help,https://tradeify.co/funded-trader-agreement,7/8/2026
Tradeify,Daily loss limit,Dynamic DLL on Growth (rules),Varies by program/date; Select Flex funded has no consistency,Unclear,Rules changed Sep 2025; verify per SKU at checkout,https://propfirmmatch.com/futures/prop-firms/tradeify,7/8/2026
Tradeify,Profit split,90/10,90/10 default per funded agreement,Yes,Matches,https://tradeify.co/funded-trader-agreement,7/8/2026
Tradeify,Minimum payout,$250 Select Flex; $500 Growth 50K,$250-$1000 varies by program,Yes,Matches PFM payout policy section,https://propfirmmatch.com/futures/prop-firms/tradeify,7/8/2026
Tradeify,Activation fee,Included in one-time eval,No separate activation on eval paths,Yes,Matches,https://propfirmmatch.com/futures/prop-firms/tradeify,7/8/2026
Tradeify,Current promo/discount,40% off MATCH (5 uses),40% promos active,Yes,Matches,https://propfirmmatch.com/futures/prop-firms/tradeify,7/8/2026
Tradeify,Lightning consistency,20% -> 25% -> 30% progressive,20% -> 25% -> 30% per official consistency post,Yes,Matches official Tradeify consistency guide,https://tradeify.co/post/handle-tradeify-consistency-rule,7/8/2026
Bulenox,Firm listing on PFM,Unlisted firm page only,Active futures prop firm with full product line,No,COVERAGE GAP: Bulenox researched in Project 1 but not a verified/listable firm on PFM,https://propfirmmatch.com/futures/prop-firms/bulenox,7/8/2026
Bulenox,Evaluation price ($50K),No PFM challenge data,Qualification pricing varies; Master activation $148 (50K),N/A,PFM cannot be audited for pricing - firm unlisted,https://bulenox.com/help/master-account/,7/8/2026
Bulenox,Profit split,No PFM data,100% first $10K then 90/10 on Master,N/A,Not on comparison platform,https://bulenox.com/help/master-account/,7/8/2026
Bulenox,Minimum payout,No PFM data,$1000 minimum withdrawal,N/A,Not on comparison platform,https://bulenox.com/help/master-account/,7/8/2026
